Unnamed: 0,RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD,n_postulaciones,vacantes,n_postulaciones_p,vacantes_p
7998,9973,COLEGIO SANTA URSULA,MAIPÚ,SANTIAGO PONIENTE,-33.51117827,-70.75066356,280.0,144.0,0.0005567818011891269,0.0005736480430236032
8002,9979,COLEGIO PETER COLLEGE,CERRILLOS,SANTIAGO PONIENTE,-33.50262316,-70.72587956,347.0,56.0,0.0006900117321879536,0.0002230853500647346
8004,9981,LICEO INDUSTRIAL DOMINGO MATTE PEREZ,MAIPÚ,SANTIAGO PONIENTE,-33.51611178999999,-70.75420244,534.0,196.0,0.0010618624351249777,0.000780798725226571
8005,9982,LICEO COMERCIAL MOLINA LAVIN,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43004782,-70.70916643,596.0,326.0,0.0011851498339597128,0.0012986754307339906
8007,9985,LICEO GUILLERMO LABARCA HUBERTSON,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44124725999999,-70.69895719,377.0,189.0,0.0007496669251725029,0.0007529130564684792
8008,9986,LICEO POLITECNICO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42211541,-70.70144474,229.0,247.0,0.00045536797311539304,0.0009839657404640972
8009,9987,ESCUELA PLATON,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41153236,-70.7043935,77.0,104.0,0.00015311499532700987,0.00041430136440593566
8011,9991,ESCUELA ABATE MOLINA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43114039999999,-70.70930196,126.0,141.0,0.0002505518105351071,0.0005616970421272781
8012,9992,ESCUELA DIEGO PORTALES,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42138778,-70.70182082,292.0,243.0,0.0005806438783829466,0.0009680310726023305
8013,9993,ESCUELA INGLATERRA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44074133,-70.70375703,339.0,177.0,0.0006741036807254071,0.0007051090528831789
8014,9994,ESCUELA ANGELMO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42854788,-70.71493232,158.0,94.0,0.000314184016385293,0.00037446469475151876
8015,9995,ESCUELA INSIGNE GABRIELA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43247311999999,-70.70930354,150.0,295.0,0.00029827596492274655,0.0011751817548052983
8016,9996,ESCUELA ESPANA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41037726999999,-70.71122789,96.0,107.0,0.00019089661755055778,0.00042625236530226073
8017,9998,ESCUELA LO FRANCO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42168257,-70.70081894,293.0,263.0,0.0005826323848157649,0.0010477044119111642
8018,9999,ESCUELA ANTUMALAL,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41819706999999,-70.71444995,82.0,70.0,0.00016305752749110142,0.0002788566875809182
8019,10000,ESCUELA CALICANTO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42720742,-70.71011731,191.0,179.0,0.0003798047286682972,0.0007130763868140623
8020,10001,ESCUELA MEMBRILLAR,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43108676,-70.71913695,112.0,118.0,0.00022271272047565073,0.0004700727019221193
8022,10005,ESCUELA BASICA MUNICIPAL GRENOBLE,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42659534,-70.6954836,533.0,221.0,0.0010598739286921592,0.0008803903993626133
8023,10006,ESCUELA REPUBLICA DE LA INDIA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44133926,-70.69829994,386.0,166.0,0.0007675634830678677,0.0006612887162633204
8026,10010,MUSTAFA KEMAL ATATURK,LO PRADO,SANTIAGO PONIENTE,-33.43972749999999,-70.70999791,92.0,77.0,0.00018294259181928454,0.00030674235633901004
8027,10012,ESCUELA GIL DE CASTRO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41222965,-70.71839974,76.0,94.0,0.00015112648889419159,0.00037446469475151876
8028,10014,ESCUELA PARTICULAR ANDRES BELLO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44500196,-70.69434789,240.0,96.0,0.00047724154387639444,0.00038243202868240214
8029,10015,ESCUELA OLGA NAVARRO SEPULVEDA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42598203,-70.70450426,364.0,407.0,0.0007238163415458649,0.0016213524549347675
8030,10018,ESCUELA PARTICULAR JOSE JOAQUIN PEREZ,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43158936999999,-70.69595927,81.0,68.0,0.00016106902105828311,0.00027088935365003484
8031,10019,ESCUELA PARTICULAR SAN JOSE SCHOOL,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.45500441,-70.70421327,383.0,61.0,0.0007615979637694128,0.00024300368489194304
8032,10021,ESCUELA PARTICULAR VICTOR HUGO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41640178,-70.69336905,243.0,122.0,0.0004832070631748494,0.00048600736978388607
8033,10023,LICEO ALBERTO HURTADO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44721264999999,-70.6976603,605.0,184.0,0.0012030463918550776,0.0007329947216412708
8034,10026,ESCUELA PARTICULAR MONTE GRANDE,CERRO NAVIA,SANTIAGO PONIENTE,-33.43205397,-70.72081413,70.0,93.0,0.00013919545029728172,0.0003704810277860771
8035,10028,ESCUELA N°1124 ALIANZA AMERICANA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43128054999999,-70.6902485,161.0,105.0,0.00032014953568374794,0.00041828503137137735
8037,10030,LICEO POLIV.SAN JOSE DE LA PRECIOSA SANG,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42921616999999,-70.71656416,1906.0,353.0,0.003790093260951699,0.0014062344388009163
8039,10032,ESCUELA BASICA PARTICULAR  Nº 488 `ZENON TORREALBA`,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43391958,-70.69020642,448.0,100.0,0.0008908508819026029,0.0003983666965441689
8040,10035,ESCUELA PARTICULAR NUEVO HORIZONTE,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43139278999999,-70.7010933,119.0,92.0,0.0002366322655053789,0.0003664973608206354
8041,10036,ESCUELA PARTICULAR PDTE. ABRAHAM LINCOLN,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42991097,-70.71799853,288.0,160.0,0.0005726898526516734,0.0006373867144706702
8042,10041,COLEGIO SAINT MARK,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42571242,-70.71782084,63.0,155.0,0.00012527590526755354,0.0006174683796434618
8043,10042,COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42208002,-70.69608224,2420.0,109.0,0.0048121855674203105,0.0004342196992331441
8044,10044,CENTRO EDUCACIONAL ALBERTO HURTADO,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44784309,-70.69315919,462.0,243.0,0.0009186899719620593,0.0009680310726023305
8045,10046,ESCUELA PARTICULAR SAGRADA FAMILIA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44709349,-70.69733204,473.0,129.0,0.0009405635427230607,0.0005138930385419778
8047,10052,LICEO POLITECNICO SAN FRANCISCO SOLANO,CERRO NAVIA,SANTIAGO PONIENTE,-33.43167002,-70.72136001,274.0,246.0,0.000544850762592217,0.0009799820734986554
8050,10058,COLEGIO POLIVALENTE PRINCIPE DE GALES,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.44955302,-70.69511693,946.0,201.0,0.0018811270854461213,0.0008007170600537795
8052,10063,ESCUELA PARTICULAR CARMEN CHACON,QUINTA NORMAL,SANTIAGO PONIENTE,-33.41428422,-70.71077632,71.0,72.0,0.00014118395673010003,0.0002868240215118016
8053,10064,ESCUELA PARTICULAR MARIA CRISTINA,QUINTA NORMAL,SANTIAGO PONIENTE,-33.42473112999999,-70.71821266,136.0,94.0,0.0002704368748632902,0.00037446469475151876
8056,10069,COLEGIO MARQUEL,QUINTA NORMAL,SANTIAGO PONIENTE,-33.44675062,-70.70159352,1073.0,188.0,0.0021336674024140466,0.0007489293895030375
8059,10073,LICEO BICENTENARIO INDUSTRIAL VICENTE PEREZ ROSALES,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43932469,-70.69851766,874.0,223.0,0.0017379546222832032,0.0008883577332934967
